,Other,Recombinants,Delta,BA.1.X,BA.2.X,BA.2.12.X,BA.4.X,BA.5.X,XBB.X,XBB.1.5.X,BA.2.86.X,JN.1.X,KP.1.X,KP.3.X,LB.1.3.X,LB.1.3.4.X,XEC.X,LP.8.1.X,XFG.X,NB.1.8.1.X,BA.3.2.X
2022-10-06,0.0050233585294117665,0.034068097941176476,7.820588235294121e-06,0.0034068591176470535,0.008242838235294122,0.001265021764705883,0.034951671470588246,0.9130244376470591,4.868529411764707e-06,4.585588235294119e-06,4.2705882352941193e-07,6.470588235294121e-09,0.0,0.0,7.058823529411767e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-07,0.005172823939393937,0.035081966666666665,8.05757575757576e-06,0.0035100972727272663,0.0063661645454545475,0.0005427139393939395,0.03557933121212122,0.9137305572727275,3.1090909090909103e-06,4.7245454545454555e-06,4.400000000000001e-07,6.6666666666666685e-09,0.0,0.0,7.272727272727274e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-08,0.005172823939393937,0.035081966666666665,8.05757575757576e-06,0.0035100972727272663,0.0063661645454545475,0.0005427139393939395,0.03557933121212122,0.9137305572727275,3.1090909090909103e-06,4.7245454545454555e-06,4.400000000000001e-07,6.6666666666666685e-09,0.0,0.0,7.272727272727274e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-09,0.005172823939393937,0.035081966666666665,8.05757575757576e-06,0.0035100972727272663,0.0063661645454545475,0.0005427139393939395,0.03557933121212122,0.9137305572727275,3.1090909090909103e-06,4.7245454545454555e-06,4.400000000000001e-07,6.6666666666666685e-09,0.0,0.0,7.272727272727274e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-10,0.005172823939393937,0.035081966666666665,8.05757575757576e-06,0.0035100972727272663,0.0063661645454545475,0.0005427139393939395,0.03557933121212122,0.9137305572727275,3.1090909090909103e-06,4.7245454545454555e-06,4.400000000000001e-07,6.6666666666666685e-09,0.0,0.0,7.272727272727274e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-11,0.005176387878787869,0.03048643575757576,8.371515151515153e-06,0.0035100972727272663,0.006360356060606063,0.0005427139393939395,0.03558094727272728,0.9183260036363639,3.2403030303030314e-06,4.7245454545454555e-06,4.400000000000001e-07,2.745454545454546e-07,0.0,0.0,7.272727272727274e-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-12,0.0050358700000000065,0.018227292352941172,9.592941176470586e-06,0.0003554185294117581,0.006174970588235294,0.0005270882352941175,0.027381047058823525,0.9422769714705881,6.113235294117646e-06,4.94235294117647e-06,4.2705882352941167e-07,2.6617647058823524e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-13,0.003189704117647079,0.01719092323529411,4.946470588235294e-06,4.653823529405233e-06,0.006170611764705882,0.0005270882352941175,0.02860625147058823,0.9442910426470585,8.446470588235292e-06,5.638529411764704e-06,4.2705882352941167e-07,2.6617647058823524e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-14,0.003189704117647079,0.01719092323529411,4.946470588235294e-06,4.653823529405233e-06,0.006170611764705882,0.0005270882352941175,0.02860625147058823,0.9442910426470585,8.446470588235292e-06,5.638529411764704e-06,4.2705882352941167e-07,2.6617647058823524e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-15,0.003189704117647079,0.01719092323529411,4.946470588235294e-06,4.653823529405233e-06,0.006170611764705882,0.0005270882352941175,0.02860625147058823,0.9442910426470585,8.446470588235292e-06,5.638529411764704e-06,4.2705882352941167e-07,2.6617647058823524e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
